,平均気温(℃),降水量の合計(mm),日照時間(時間),1日前平均気温(℃),2日前平均気温(℃),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時)
2009/1/23,10.3,14,3,6.8,5.9,曇,雨後曇一時晴
2009/1/24,6.8,0,2,5.9,6.5,曇時々雨後一時晴、みぞれを伴う,曇一時晴
2009/1/25,5.9,0,9.7,6.5,7.6,快晴,快晴
2009/1/26,6.5,0,6.7,7.6,6.7,薄曇一時晴,薄曇時々晴
2009/1/27,7.6,0,9,6.7,8.9,曇一時晴,晴後薄曇
2009/1/28,6.7,0,1.3,8.9,9.6,曇,曇後一時雨
2009/1/29,8.9,0,0.1,9.6,7.8,曇後一時雨,曇
2009/1/30,9.6,31,0,7.8,7.9,大雨一時曇,雨
2009/1/31,7.8,68,0.2,7.9,6.2,曇時々雨後晴,雨後時々曇
2009/2/1,7.9,0,9.8,6.2,8.9,快晴,快晴
2009/2/2,6.2,0,7.4,8.9,7.5,晴後薄曇,晴後曇
2009/2/3,8.9,0,6.1,7.5,7.4,曇,晴時々薄曇
2009/2/4,7.5,0,0.5,7.4,7.9,曇,曇
2009/2/5,7.4,0,1.6,7.9,7.1,曇後晴,曇後時々晴
2009/2/6,7.9,0,9.9,7.1,7.4,晴後一時曇,快晴
2009/2/7,7.1,0,7.8,7.4,6.1,晴一時薄曇,晴一時曇
2009/2/8,7.4,0,9.8,6.1,8.7,晴,快晴
2009/2/9,6.1,0,0,8.7,6.9,曇後一時晴,曇
2009/2/10,8.7,0,8.8,6.9,9.8,晴後曇,晴後一時曇
2009/2/11,6.9,0,0,9.8,11.4,晴一時雨,曇一時雨
2009/2/12,9.8,0,9.2,11.4,18.1,晴後薄曇,晴
2009/2/13,11.4,0,0,18.1,12.7,曇時々雨,曇
2009/2/14,18.1,0,7.5,12.7,10.5,晴時々曇,晴一時曇
2009/2/15,12.7,0,1.9,10.5,4.9,曇,曇一時晴
2009/2/16,10.5,0,5.2,4.9,6.1,曇後一時晴,曇時々晴
2009/2/17,4.9,0,7.7,6.1,6.6,晴,晴
2009/2/18,6.1,0,9.1,6.6,6.3,晴後一時曇,晴後一時曇
2009/2/19,6.6,0,8.3,6.3,6.4,曇後雨一時みぞれ,晴時々薄曇
2009/2/20,6.3,18.5,1.9,6.4,7.7,晴,雨一時みぞれ後晴
2009/2/21,6.4,0,10.2,7.7,6.6,快晴,快晴
2009/2/22,7.7,0,7.4,6.6,5.2,曇後雨,晴後薄曇
2009/2/23,6.6,8,0,5.2,7.6,晴後薄曇,雨後一時晴
2009/2/24,5.2,0.5,0,7.6,6.9,雨後曇,曇後雨
2009/2/25,7.6,2.5,0,6.9,3.4,曇,曇時々雨
2009/2/26,6.9,0.5,0,3.4,6.8,雨,雨時々曇
2009/2/27,3.4,16.5,0,6.8,7.1,霧雨時々雨一時曇,雨時々雪一時みぞれ
2009/2/28,6.8,0,1.1,7.1,6.9,曇,曇
2009/3/1,7.1,0,0,6.9,3.2,曇後晴,曇時々雨
2009/3/2,6.9,0,10.9,3.2,5.8,晴後曇,快晴
2009/3/3,3.2,6,0,5.8,8.6,雪時々みぞれ一時雨,曇後時々雨一時みぞれ
2009/3/4,5.8,9.5,0,8.6,8.1,雨一時曇後晴,曇後雨
2009/3/5,8.6,0,9.8,8.1,11.6,曇後時々雨,晴後薄曇
2009/3/6,8.1,47.5,0,11.6,8.6,曇時々晴一時雨,大雨
2009/3/7,11.6,0,6.4,8.6,10.2,曇,晴時々曇
2009/3/8,8.6,0,0,10.2,11.5,曇,曇
2009/3/9,10.2,1,0,11.5,7.6,曇後雨,曇
2009/3/10,11.5,9,4.8,7.6,8.1,晴時々曇,晴時々曇一時雨
2009/3/11,7.6,0,4.1,8.1,10,晴一時曇,薄曇
2009/3/12,8.1,0,10.9,10,11.6,晴後曇,快晴
2009/3/13,10,0.5,2.3,11.6,9.4,雨一時曇,曇後一時雨
2009/3/14,11.6,11.5,0,9.4,11.1,快晴,雨後一時曇
2009/3/15,9.4,0,11.2,11.1,14.4,快晴,快晴
2009/3/16,11.1,0,10.8,14.4,15.1,薄曇時々晴,晴
2009/3/17,14.4,0,9.4,15.1,17.2,快晴,快晴
2009/3/18,15.1,0,10.1,17.2,15.3,快晴,晴後一時薄曇
2009/3/19,17.2,0,10.3,15.3,11.8,薄曇後一時雨,晴後一時薄曇
2009/3/20,15.3,2.5,5.2,11.8,15.3,快晴,曇時々雨後晴
2009/3/21,11.8,0,10.6,15.3,12.7,晴後曇,快晴
2009/3/22,15.3,7.5,0.4,12.7,8.6,雨後晴,曇後雨
2009/3/23,12.7,0,6.2,8.6,8,曇後時々雨,晴後曇
2009/3/24,8.6,0,1.4,8,8,晴後時々曇,曇時々雨一時晴
2009/3/25,8,3.5,0.1,8,7.8,曇時々雨後一時雪,雨時々曇
2009/3/26,8,0,6.1,7.8,7.8,晴,曇一時雪後晴
2009/3/27,7.8,0,7.6,7.8,8.1,雨後曇,晴後曇
2009/3/28,7.8,0,1.8,8.1,8.7,晴時々曇,曇後一時晴
2009/3/29,8.1,0,7.6,8.7,10.7,曇時々晴,薄曇後一時晴
2009/3/30,8.7,0,11.7,10.7,9.9,晴後曇,快晴
2009/3/31,10.7,0,3.2,9.9,9.8,曇後一時雨,曇後一時晴
2009/4/1,9.9,17.5,0,9.8,12.3,雨、雷を伴う,雨時々曇
2009/4/2,9.8,2.5,8.8,12.3,13.8,快晴,晴一時曇
2009/4/3,12.3,0,11.2,13.8,14.5,薄曇時々晴,晴後一時薄曇
2009/4/4,13.8,0,5.4,14.5,14.9,晴時々曇一時雨,曇時々晴
2009/4/5,14.5,0,5.7,14.9,16,薄曇,薄曇
2009/4/6,14.9,0,11.4,16,16.2,晴,快晴
2009/4/7,16,0,11.4,16.2,18.3,晴後一時薄曇,快晴
2009/4/8,16.2,0,8.7,18.3,18.6,晴一時曇,薄曇後一時晴
2009/4/9,18.3,0,11.8,18.6,18.1,快晴,快晴
2009/4/10,18.6,0,11.9,18.1,16.3,快晴,快晴
2009/4/11,18.1,0,11.6,16.3,18.8,曇,快晴
2009/4/12,16.3,0,6.6,18.8,17.9,曇時々晴,薄曇後一時晴
2009/4/13,18.8,0,10.3,17.9,19.7,薄曇,晴後薄曇
2009/4/14,17.9,38,0.5,19.7,17.7,大雨後一時晴,曇後雨
2009/4/15,19.7,10.5,11.8,17.7,12.7,曇後一時晴,快晴
2009/4/16,17.7,0,5.7,12.7,15.2,曇後一時雨,晴時々曇
2009/4/17,12.7,0,0,15.2,17.4,雨後曇一時晴,曇後雨
2009/4/18,15.2,0,5.5,17.4,16.8,薄曇,曇
2009/4/19,17.4,0,10.6,16.8,18.1,晴,晴一時薄曇
2009/4/20,16.8,0,3.4,18.1,19.7,曇後一時雨,曇一時晴
2009/4/21,18.1,31.5,0.2,19.7,17.1,雨後曇,曇後雨
2009/4/22,19.7,0,5.3,17.1,13.3,晴時々曇,晴後時々曇
2009/4/23,17.1,0,11.4,13.3,11.2,晴時々曇,晴
2009/4/24,13.3,1.5,1.4,11.2,16.8,雨時々曇,曇
2009/4/25,11.2,61,0,16.8,14.4,雨後時々曇,大雨
2009/4/26,16.8,0,10.8,14.4,13,快晴,晴一時曇
2009/4/27,14.4,0,8.6,13,15.5,晴一時曇,晴後一時曇
2009/4/28,13,0,12.1,15.5,17.8,晴時々薄曇,快晴
2009/4/29,15.5,0,12.4,17.8,19.5,快晴,快晴
2009/4/30,17.8,0,12.2,19.5,19.8,快晴,快晴
2009/5/1,19.5,0,11.6,19.8,20,晴,晴時々薄曇
2009/5/2,19.8,0,11.9,20,20.4,晴後薄曇,快晴
2009/5/3,20,0,4.3,20.4,17.8,薄曇,薄曇
2009/5/4,20.4,0,5.7,17.8,16.4,曇一時晴,薄曇
2009/5/5,17.8,14.5,0,16.4,17,雨,雨時々曇
2009/5/6,16.4,19.5,0,17,17.8,雨一時曇,雨時々曇
2009/5/7,17,8.5,0,17.8,21,雨,雨
2009/5/8,17.8,13,0.7,21,23,晴一時雨,雨時々曇、雷を伴う
2009/5/9,21,0,10.9,23,21.4,晴時々薄曇,晴時々薄曇
2009/5/10,23,0,9.9,21.4,22.2,薄曇,晴時々薄曇
2009/5/11,21.4,0,2,22.2,22.4,曇,薄曇
2009/5/12,22.2,0,1.9,22.4,18.4,雨時々曇,曇
2009/5/13,22.4,0.5,2.1,18.4,16.3,曇後晴,曇後一時晴
2009/5/14,18.4,0,11.6,16.3,17.6,晴後一時薄曇,快晴
2009/5/15,16.3,0,13.1,17.6,19.4,曇後一時晴,薄曇一時晴
2009/5/16,17.6,0,0,19.4,23.7,雨時々曇,曇一時雨
2009/5/17,19.4,16,0,23.7,21.7,薄曇一時雨,雨後曇
2009/5/18,23.7,0,10.8,21.7,23.2,薄曇,薄曇時々晴
2009/5/19,21.7,0,3.1,23.2,23,晴時々薄曇,薄曇
2009/5/20,23.2,0,12.5,23,21.8,快晴,快晴
2009/5/21,23,0,8,21.8,23.2,曇後一時雨,薄曇一時晴
2009/5/22,21.8,0,4.5,23.2,19.4,曇一時晴後時々雨,晴時々曇
2009/5/23,23.2,0,5.3,19.4,18.9,曇後一時雨,曇
2009/5/24,19.4,49.5,0.4,18.9,21.3,曇時々大雨、雷を伴う,雨時々曇
2009/5/25,18.9,0.5,6.8,21.3,21.5,晴,曇後晴
2009/5/26,21.3,0,12.1,21.5,18.5,薄曇,薄曇時々晴
2009/5/27,21.5,0,5.3,18.5,17.5,曇後一時雨,薄曇時々晴
2009/5/28,18.5,39.5,0,17.5,18.4,大雨,雨
2009/5/29,17.5,63.5,0,18.4,19.7,雨時々曇,雨後一時曇
2009/5/30,18.4,3.5,0,19.7,19,曇,雨後曇
2009/5/31,19.7,13.5,0.1,19,21.1,曇後霧雨,雨時々曇
2009/6/1,19,0,1.9,21.1,21.9,快晴,曇時々雨後一時晴
2009/6/2,21.1,0,11.7,21.9,21.6,薄曇,薄曇一時晴
2009/6/3,21.9,0,0.4,21.6,20,曇一時雨,曇
2009/6/4,21.6,0,1.5,20,20.5,曇,曇
2009/6/5,20,7,0,20.5,22.8,雨一時曇,雨時々曇
2009/6/6,20.5,16.5,0.2,22.8,19,晴時々曇,雨後曇
2009/6/7,22.8,0,11.7,19,21.8,曇後一時雨,晴
2009/6/8,19,0,0,21.8,23.1,曇一時雨,曇時々雨
2009/6/9,21.8,0,0,23.1,21.6,曇,曇
2009/6/10,23.1,0,0.1,21.6,23.6,曇後雨,曇
2009/6/11,21.6,13.5,3.1,23.6,23,晴後薄曇,雨後薄曇時々晴
2009/6/12,23.6,0,8.8,23,20.7,薄曇時々晴,薄曇後時々晴
2009/6/13,23,0,5.1,20.7,20.8,曇,曇後一時晴
2009/6/14,20.7,20.5,2.6,20.8,19.6,雨後曇,曇
2009/6/15,20.8,33.5,0.5,19.6,21.2,大雨後曇、雷を伴う,曇
2009/6/16,19.6,21.5,0,21.2,21.7,雨後曇、雷を伴う,曇後一時雨
2009/6/17,21.2,0,3.5,21.7,22.3,曇後時々雨,曇後一時晴
2009/6/18,21.7,0,0,22.3,23.2,曇後一時晴,曇後時々雨
2009/6/19,22.3,0,4.9,23.2,22.8,曇,曇後晴
2009/6/20,23.2,0,7.3,22.8,23.8,曇後雨,薄曇時々晴
2009/6/21,22.8,48,0,23.8,26.5,雨後曇,雨後一時曇
2009/6/22,23.8,3,0,26.5,24.1,曇後一時雨,曇後時々雨
2009/6/23,26.5,1,6.1,24.1,24.9,薄曇後一時雨,曇後晴
2009/6/24,24.1,31.5,2,24.9,26.8,曇,大雨後曇
2009/6/25,24.9,0,1.9,26.8,26.6,薄曇一時晴,曇後時々晴
2009/6/26,26.8,0,8.2,26.6,23.5,薄曇後晴,薄曇
2009/6/27,26.6,0,9.8,23.5,25.3,薄曇,晴後薄曇
2009/6/28,23.5,17.5,0,25.3,22.8,曇時々雨後一時晴,曇後雨
2009/6/29,25.3,2.5,7.3,22.8,23.3,曇後雨,晴後薄曇
2009/6/30,22.8,10,0.2,23.3,21.2,雨時々曇,曇時々雨
2009/7/1,23.3,5.5,0,21.2,23.2,曇後雨,曇
2009/7/2,21.2,7,0,23.2,24,曇,雨時々霧雨一時曇
2009/7/3,23.2,1.5,0,24,23.8,雨,曇
2009/7/4,24,9,1.1,23.8,23.7,曇,曇後一時晴
2009/7/5,23.8,0,0.7,23.7,26.9,晴後曇一時雨,曇
2009/7/6,23.7,6.5,0,26.9,26.5,曇後一時晴,雨時々曇
2009/7/7,26.9,0,7.4,26.5,27.9,曇時々晴,薄曇
2009/7/8,26.5,0.5,0.4,27.9,28.3,曇時々雨,雨時々曇
2009/7/9,27.9,1,2.6,28.3,25.3,曇,曇時々雨
2009/7/10,28.3,0,1.7,25.3,25.5,曇,曇
2009/7/11,25.3,0,1.6,25.5,28.9,薄曇後一時晴,曇
2009/7/12,25.5,0,2.6,28.9,27.6,晴後曇,曇後晴
2009/7/13,28.9,0,7.7,27.6,29.1,薄曇時々晴,曇後時々晴
2009/7/14,27.6,0,7.8,29.1,29.3,曇,曇時々晴
2009/7/15,29.1,0,11.9,29.3,25.9,晴後一時曇,薄曇時々晴
2009/7/16,29.3,0,9.8,25.9,27.7,曇時々雨,晴時々薄曇
2009/7/17,25.9,4.5,0.8,27.7,29.4,曇後時々雨,曇一時雨
2009/7/18,27.7,0,0.6,29.4,27.1,曇一時雨後時々晴,曇時々雨
2009/7/19,29.4,0,3.4,27.1,22.8,晴時々曇一時雨,曇一時雨
2009/7/20,27.1,0,3.4,22.8,24.1,曇,曇後一時晴
2009/7/21,22.8,13,0,24.1,25.6,雨時々曇,雨一時曇
2009/7/22,24.1,4.5,0,25.6,26.3,曇時々雨,雨時々曇
2009/7/23,25.6,0.5,1.1,26.3,28.1,雨時々曇,曇時々雨
2009/7/24,26.3,7,0.6,28.1,29.6,雨後時々曇,雨時々曇、雷を伴う
2009/7/25,28.1,5,8.6,29.6,27.2,薄曇時々晴,曇後晴
2009/7/26,29.6,0,13,27.2,26.7,晴後一時曇,晴
2009/7/27,27.2,5,5.6,26.7,28.2,曇時々雨、雷を伴う,曇時々雨一時晴
2009/7/28,26.7,6,1,28.2,28.4,曇時々雨,曇後時々雨
2009/7/29,28.2,0,1.8,28.4,23.3,曇一時晴,曇
2009/7/30,28.4,0,8.3,23.3,24.6,曇後雨,薄曇後晴
2009/7/31,23.3,2,0,24.6,24.3,曇時々晴,雨後曇
2009/8/1,24.6,0,2,24.3,26.3,曇,曇後一時晴
2009/8/2,24.3,4,0.1,26.3,26,曇時々雨,雨時々曇
2009/8/3,26.3,0,2.7,26,27.5,曇後一時霧雨,曇一時晴
2009/8/4,26,0,2.3,27.5,27.5,晴後曇,曇時々雨後一時晴
2009/8/5,27.5,0,2.7,27.5,28.6,曇後一時雨,曇一時晴
2009/8/6,27.5,0,0.6,28.6,27.6,曇一時晴,曇時々雨
2009/8/7,28.6,20,3.8,27.6,28.3,雨後曇時々晴、雷を伴う,曇一時晴
2009/8/8,27.6,0,0,28.3,27.1,曇,曇
2009/8/9,28.3,0,1.7,27.1,26.7,曇後時々雨,曇後一時雨、雷を伴う
2009/8/10,27.1,111.5,0.3,26.7,26.6,曇後一時晴,大雨後曇
2009/8/11,26.7,5,1.8,26.6,28.2,曇後一時晴,曇時々雨一時晴
2009/8/12,26.6,0,7.9,28.2,28.6,曇一時晴後時々雨,晴時々曇
2009/8/13,28.2,0,5.5,28.6,27.2,晴後一時曇,曇一時雨後晴
2009/8/14,28.6,0,0.5,27.2,27.8,晴,曇後一時晴
2009/8/15,27.2,0,11.6,27.8,26.5,晴後曇,晴
2009/8/16,27.8,0,11.2,26.5,26.6,晴後曇,晴
2009/8/17,26.5,0,11.1,26.6,27.3,曇時々晴,晴
2009/8/18,26.6,0,1.9,27.3,27.6,曇後一時晴,曇時々晴
2009/8/19,27.3,0,4.8,27.6,28.9,薄曇一時晴,薄曇一時晴
2009/8/20,27.6,0,9.2,28.9,28.9,薄曇,薄曇時々晴
2009/8/21,28.9,0,2.5,28.9,27.2,曇,曇後時々晴
2009/8/22,28.9,0,4.5,27.2,26,曇後時々晴,曇後時々晴
2009/8/23,27.2,0,5.4,26,24.8,晴後曇,曇時々晴後一時雨
2009/8/24,26,5,4.1,24.8,24.4,曇後時々雨,曇時々晴一時雨、雷を伴う
2009/8/25,24.8,0.5,3.2,24.4,25.3,曇,晴時々曇
2009/8/26,24.4,0,3.7,25.3,27.4,晴,曇後一時晴
2009/8/27,25.3,0,11.1,27.4,28.6,晴後一時曇,晴
2009/8/28,27.4,0,10.1,28.6,23.3,晴時々薄曇,晴
2009/8/29,28.6,0,9.2,23.3,19.1,曇後一時晴,晴時々曇
2009/8/30,23.3,16,0.6,19.1,25.7,雨一時曇,雨時々曇一時晴
2009/8/31,19.1,80,0,25.7,22.3,曇一時雨,大雨
2009/9/1,25.7,0,6.8,22.3,22.2,曇時々雨,晴時々曇
2009/9/2,22.3,0,0,22.2,23.2,曇,曇一時雨
2009/9/3,22.2,0,0,23.2,24.4,曇,曇
2009/9/4,23.2,0,2.4,24.4,24.4,雨時々曇後晴,曇
2009/9/5,24.4,0,8.8,24.4,24.9,晴時々曇,晴一時曇
2009/9/6,24.4,0,11.4,24.9,24.8,晴時々曇,晴
2009/9/7,24.9,0,9.9,24.8,22.6,曇時々晴一時雨,晴
2009/9/8,24.8,0,3.2,22.6,24.1,曇一時晴,曇時々晴
2009/9/9,22.6,0.5,0,24.1,23.9,晴時々曇一時雨,曇時々雨
2009/9/10,24.1,0,9.5,23.9,21.4,曇時々晴,晴時々薄曇
2009/9/11,23.9,0,3.6,21.4,23.7,曇,薄曇
2009/9/12,21.4,38,0,23.7,23.2,大雨後曇,雨時々曇
2009/9/13,23.7,0,7,23.2,21.9,晴時々薄曇,曇後晴
2009/9/14,23.2,0,7.4,21.9,23.7,曇,晴後時々薄曇
2009/9/15,21.9,0.5,0,23.7,22.5,雨時々曇,曇一時雨
2009/9/16,23.7,3.5,8.7,22.5,20.9,曇後一時晴,晴一時曇
2009/9/17,22.5,0,8.8,20.9,21.7,晴後一時薄曇,晴
2009/9/18,20.9,0,2.6,21.7,22.4,曇,曇後一時雨
2009/9/19,21.7,0,0.8,22.4,21.3,曇後一時晴,曇
2009/9/20,22.4,0,10.5,21.3,23.3,晴後曇,快晴
2009/9/21,21.3,0,0.4,23.3,23.9,曇後一時雨,曇
2009/9/22,23.3,0,1,23.9,23.3,曇,曇一時晴
2009/9/23,23.9,0,1.4,23.3,23.3,曇後一時晴,曇一時晴
2009/9/24,23.3,0,9.7,23.3,23.4,快晴,晴
2009/9/25,23.3,0,11.4,23.4,21.9,曇時々晴,晴
2009/9/26,23.4,0,6.1,21.9,23.4,晴後曇一時雨,曇後晴
2009/9/27,21.9,0,0.8,23.4,23.1,曇,曇後一時晴
2009/9/28,23.4,0,4.3,23.1,20.2,曇後雨,曇時々晴
2009/9/29,23.1,4,0,20.2,20.8,雨,曇時々雨
2009/9/30,20.2,6.5,0,20.8,21.3,雨後曇,雨
2009/10/1,20.8,1,3.4,21.3,22.8,曇時々雨一時晴,曇後晴
2009/10/2,21.3,13.5,0,22.8,22.4,雨後曇,雨後一時曇
2009/10/3,22.8,1.5,1.2,22.4,19.6,晴時々曇,雨時々曇一時晴
2009/10/4,22.4,0,5.8,19.6,17.8,晴時々曇,晴一時曇
2009/10/5,19.6,10.5,0,17.8,17.6,雨,雨一時曇
2009/10/6,17.8,18.5,0,17.6,21.2,雨後一時曇,雨
2009/10/7,17.6,20,0,21.2,20.4,大雨,雨
2009/10/8,21.2,127,6.3,20.4,17.7,晴時々薄曇,雨一時曇後晴
2009/10/9,20.4,0,6.1,17.7,18.9,曇一時晴,晴後曇
2009/10/10,17.7,0,3.8,18.9,18.5,晴,曇時々雨後晴
2009/10/11,18.9,0,10.9,18.5,19.8,晴後曇,晴
2009/10/12,18.5,0,6.1,19.8,18.2,曇,晴時々曇
2009/10/13,19.8,0,9.2,18.2,18.1,晴後時々曇,晴一時曇
2009/10/14,18.2,16,1.9,18.1,18.6,雨時々曇後晴、雷を伴う,晴時々曇
2009/10/15,18.1,0,9.9,18.6,18.4,晴,快晴
2009/10/16,18.6,0,9.9,18.4,19.7,晴後薄曇,晴
2009/10/17,18.4,0,0.2,19.7,19.7,曇時々晴一時雨,曇後一時雨
2009/10/18,19.7,0,10.1,19.7,21.9,晴一時曇,快晴
2009/10/19,19.7,0,6.9,21.9,19.3,晴後一時薄曇,晴
2009/10/20,21.9,0,5.7,19.3,18.5,晴一時曇,晴後曇
2009/10/21,19.3,0,9.3,18.5,17.7,晴,晴
2009/10/22,18.5,0,4.6,17.7,16.1,曇,晴後曇
2009/10/23,17.7,0,3.3,16.1,14.8,曇,曇時々晴
2009/10/24,16.1,6,0,14.8,14.4,雨後一時曇,曇後一時雨
2009/10/25,14.8,2,0,14.4,19.1,曇後雨,雨後曇
2009/10/26,14.4,59,0,19.1,18.4,雨時々曇,大雨
2009/10/27,19.1,1.5,9.9,18.4,17.8,晴,快晴
2009/10/28,18.4,0,7.6,17.8,19.9,晴後一時曇,晴一時薄曇
2009/10/29,17.8,0,5,19.9,18.2,晴時々曇,曇後晴
2009/10/30,19.9,0,8.3,18.2,19.6,晴時々薄曇,晴後一時薄曇
2009/10/31,18.2,0,7.9,19.6,12.9,晴時々曇,晴後一時曇
2009/11/1,19.6,7.5,4.7,12.9,10.2,雨後一時曇,曇時々晴後一時雨
2009/11/2,12.9,6.5,0,10.2,11.9,雨時々曇後一時晴、あられを伴う,曇時々雨
2009/11/3,10.2,0,10,11.9,13.5,快晴,快晴
2009/11/4,11.9,0,7.1,13.5,15.4,薄曇時々晴,晴時々曇
2009/11/5,13.5,0,2,15.4,16.5,曇後晴,曇一時晴
2009/11/6,15.4,0,9.6,16.5,16.9,晴後曇,快晴
2009/11/7,16.5,0,7.5,16.9,17.8,晴時々曇,晴一時曇
2009/11/8,16.9,0,3,17.8,18.7,晴時々曇,曇後晴
2009/11/9,17.8,0,7,18.7,17.3,曇後晴,晴後薄曇
2009/11/10,18.7,2,5.4,17.3,13.2,大雨一時曇,晴後曇
2009/11/11,17.3,85,0,13.2,11.2,雨時々曇,大雨
2009/11/12,13.2,1.5,0,11.2,16.9,曇,曇
2009/11/13,11.2,4.5,0,16.9,16.9,雨後一時曇,曇後雨
2009/11/14,16.9,3.5,0.4,16.9,14.4,曇後晴,雨後曇
2009/11/15,16.9,0,9.6,14.4,10.3,晴後一時曇,快晴
2009/11/16,14.4,0,1.8,10.3,11.5,曇,曇
2009/11/17,10.3,20,0,11.5,8.2,雨後曇,雨
2009/11/18,11.5,0,6.2,8.2,10.5,晴後曇,曇一時雨後晴
2009/11/19,8.2,6.5,0,10.5,12.2,晴一時曇,曇後雨
2009/11/20,10.5,0,6.5,12.2,8.4,曇一時雨後晴,晴後曇
2009/11/21,12.2,0,8.9,8.4,11.2,晴後時々曇,晴一時曇
2009/11/22,8.4,0,0,11.2,11.8,曇後時々雨,曇時々雨
2009/11/23,11.2,0,6.8,11.8,13.4,晴後一時曇,晴一時曇
2009/11/24,11.8,1,0.9,13.4,14.6,雨一時曇,曇一時晴
2009/11/25,13.4,4,4.2,14.6,14.1,曇一時晴,雨後晴
2009/11/26,14.6,0,7.5,14.1,13.8,晴,晴一時曇
2009/11/27,14.1,0,4.5,13.8,10.6,薄曇時々晴,曇一時晴
2009/11/28,13.8,0,7,10.6,9.6,曇一時雨後晴,晴後一時曇
2009/11/29,10.6,2.5,3.4,9.6,11.5,雨一時曇,晴後曇
2009/11/30,9.6,7,0,11.5,12,晴,曇一時雨
2009/12/1,11.5,0,7.7,12,10.1,晴一時曇,晴時々曇
2009/12/2,12,0,8.6,10.1,11.7,晴時々曇後雨,晴
2009/12/3,10.1,24,0,11.7,10.3,雨一時曇後晴,雨
2009/12/4,11.7,0,8.6,10.3,11.2,晴後曇,晴
2009/12/5,10.3,16.5,1,11.2,10.3,曇一時雨後晴,曇後雨
2009/12/6,11.2,0,9.2,10.3,10.1,快晴,快晴
2009/12/7,10.3,0,7.9,10.1,10.2,快晴,晴一時曇
2009/12/8,10.1,0,9,10.2,11,曇後一時雨,晴後一時曇
2009/12/9,10.2,0,0,11,8.1,曇後一時晴,曇
2009/12/10,11,0,6.6,8.1,13,曇後一時雨,晴
2009/12/11,8.1,38.5,0,13,11.2,雨後時々曇,雨
2009/12/12,13,1.5,6,11.2,8.9,晴後一時薄曇,曇後晴
2009/12/13,11.2,0,2.2,8.9,7.9,曇時々雨,曇後一時雨
2009/12/14,8.9,0,2.4,7.9,6.9,晴一時曇,曇後晴
2009/12/15,7.9,0,2.8,6.9,7,晴時々曇,曇一時晴
2009/12/16,6.9,0,0,7,6.2,晴後時々曇,曇
2009/12/17,7,0,6.4,6.2,5.2,快晴,晴一時曇
2009/12/18,6.2,0,9.2,5.2,6.3,快晴,快晴
2009/12/19,5.2,0,7.9,6.3,5.9,快晴,晴
2009/12/20,6.3,0,9.2,5.9,6.4,快晴,快晴
2009/12/21,5.9,0,8.9,6.4,7.7,晴後一時曇,快晴
2009/12/22,6.4,0,6.4,7.7,9.9,快晴,晴
2009/12/23,7.7,0,9,9.9,9.2,快晴,快晴
2009/12/24,9.9,0,8.7,9.2,9.4,曇,晴
2009/12/25,9.2,0,8,9.4,9.4,曇一時晴,晴一時曇
2009/12/26,9.4,0,4.3,9.4,9.4,晴,曇後晴
2009/12/27,9.4,0,7,9.4,8.1,雨時々曇,薄曇一時晴
2009/12/28,9.4,2,5.8,8.1,9.2,晴後曇,曇後晴
2009/12/29,8.1,0,5.2,9.2,6.2,曇時々晴,曇後晴
2009/12/30,9.2,0,5.7,6.2,4.8,快晴,曇後晴
2009/12/31,6.2,0,7.3,4.8,6.3,快晴,晴
2010/1/1,4.8,0,9.2,6.3,5.7,快晴,快晴
2010/1/2,6.3,0,9,5.7,6.5,快晴,快晴
2010/1/3,5.7,0,6.6,6.5,7.3,晴一時曇,曇一時晴
2010/1/4,6.5,0,5.2,7.3,6.5,晴時々曇一時雨,晴一時曇
2010/1/5,7.3,2.5,8.1,6.5,7.3,快晴,晴一時曇
2010/1/6,6.5,0,7.3,7.3,7.6,快晴,晴
2010/1/7,7.3,0,8.1,7.6,7.2,曇後晴,晴後一時曇
2010/1/8,7.6,0,8.3,7.2,7,晴一時曇,晴
2010/1/9,7.2,0,9,7,5.3,晴時々曇,快晴
2010/1/10,7,0,9.1,5.3,3.9,晴後曇,快晴
2010/1/11,5.3,0,0.2,3.9,5.3,曇一時晴,曇後一時晴
2010/1/12,3.9,6.5,0,5.3,3.8,曇一時雨,曇後雨一時みぞれ
2010/1/13,5.3,0,7,3.8,4.6,快晴,晴一時曇
2010/1/14,3.8,0,9.4,4.6,3.8,快晴,快晴
2010/1/15,4.6,0,9.3,3.8,4.9,快晴,快晴
2010/1/16,3.8,0,9.4,4.9,5.3,快晴,快晴
2010/1/17,4.9,0,9.3,5.3,8.4,晴時々曇,快晴
2010/1/18,5.3,0,7,8.4,11.6,晴,晴一時曇
2010/1/19,8.4,0,9.3,11.6,13,晴時々曇,快晴
2010/1/20,11.6,0,7.3,13,7,曇,晴後薄曇
2010/1/21,13,0,0.8,7,6.3,晴時々曇,曇
2010/1/22,7,0,5.9,6.3,7,快晴,晴後時々曇
2010/1/23,6.3,0,8,7,8.2,晴一時曇,晴一時薄曇
2010/1/24,7,0,9.6,8.2,6.7,快晴,快晴
2010/1/25,8.2,0,8.9,6.7,7.2,晴一時薄曇,晴
2010/1/26,6.7,0,9.7,7.2,12.2,快晴,快晴
2010/1/27,7.2,0,8.7,12.2,8.9,晴後曇,晴後一時薄曇
2010/1/28,12.2,0,0.9,8.9,8.9,薄曇後晴,曇後一時雨
